scenario,sample_size,power
1D-small,10,0.35
1D-small,20,0.31
1D-small,30,0.32
1D-small,40,0.29
1D-small,50,0.36
1D-small,60,0.41
1D-small,70,0.46
1D-small,80,0.43
1D-small,90,0.42
1D-small,100,0.53
1D-small,110,0.56
1D-small,120,0.59
1D-small,130,0.52
1D-small,140,0.57
1D-small,150,0.56
1D-small,160,0.64
1D-small,170,0.7
1D-small,180,0.64
1D-small,190,0.66
1D-small,200,0.69
1D-small,210,0.71
1D-small,220,0.73
1D-small,230,0.71
1D-small,240,0.77
1D-small,250,0.84
1D-small,260,0.75
1D-small,270,0.73
1D-small,280,0.79
1D-small,290,0.79
1D-small,300,0.77
1D-small,310,0.79
1D-small,320,0.82
1D-small,330,0.81
1D-small,340,0.81
1D-small,350,0.79
1D-small,360,0.78
1D-small,370,0.87
1D-small,380,0.84
1D-small,390,0.85
1D-small,400,0.88
1D-small,410,0.88
1D-small,420,0.95
1D-small,430,0.86
1D-small,440,0.87
1D-small,450,0.93
1D-small,460,0.93
1D-small,470,0.9
1D-small,480,0.87
1D-small,490,0.88
1D-large,10,0.64
1D-large,20,0.94
1D-large,30,0.99
1D-large,40,1.0
1D-large,50,1.0
1D-large,60,1.0
1D-large,70,1.0
1D-large,80,1.0
1D-large,90,1.0
1D-large,100,1.0
1D-large,110,1.0
1D-large,120,1.0
1D-large,130,1.0
1D-large,140,1.0
1D-large,150,1.0
1D-large,160,1.0
1D-large,170,1.0
1D-large,180,1.0
1D-large,190,1.0
1D-large,200,1.0
1D-large,210,1.0
1D-large,220,1.0
1D-large,230,1.0
1D-large,240,1.0
1D-large,250,1.0
1D-large,260,1.0
1D-large,270,1.0
1D-large,280,1.0
1D-large,290,1.0
1D-large,300,1.0
1D-large,310,1.0
1D-large,320,1.0
1D-large,330,1.0
1D-large,340,1.0
1D-large,350,1.0
1D-large,360,1.0
1D-large,370,1.0
1D-large,380,1.0
1D-large,390,1.0
1D-large,400,1.0
1D-large,410,1.0
1D-large,420,1.0
1D-large,430,1.0
1D-large,440,1.0
1D-large,450,1.0
1D-large,460,1.0
1D-large,470,1.0
1D-large,480,1.0
1D-large,490,1.0
HD-small,10,0.65
HD-small,20,0.81
HD-small,30,0.87
HD-small,40,0.93
HD-small,50,0.95
HD-small,60,0.99
HD-small,70,0.98
HD-small,80,0.99
HD-small,90,0.99
HD-small,100,1.0
HD-small,110,1.0
HD-small,120,1.0
HD-small,130,1.0
HD-small,140,1.0
HD-small,150,1.0
HD-small,160,1.0
HD-small,170,1.0
HD-small,180,1.0
HD-small,190,1.0
HD-small,200,1.0
HD-small,210,1.0
HD-small,220,1.0
HD-small,230,1.0
HD-small,240,1.0
HD-small,250,1.0
HD-small,260,1.0
